Rank,Protein_Name,Protein_Info,Gene_Summary,Druggable,Target_Score,Mean_A,Mean_B,log2FC
1,CARTPT,CART prepropeptide,"This gene encodes a preproprotein that is proteolytically processed to generate multiple biologically active peptides. These peptides play a role in appetite, energy balance, maintenance of body weight, reward and addiction, and the stress response. Expression of a similar gene transcript in rodents is upregulated following administration of cocaine and amphetamine. Mutations in this gene are associated with susceptibility to obesity in humans. [provided by RefSeq, Feb 2016].",No,1.616,10.177,4094.823,8.517
2,SLITRK3,SLIT and NTRK like family member 3,"This gene encodes a member of the Slitrk family of structurally related transmembrane proteins that are involved in controlling neurite outgrowth. The encoded protein contains two leucine-rich repeat (LRR) domains and a C-terminal domain that is partially similar to Trk neurotrophin receptor protein. Enhanced expression of this gene was found in tissue from several different types of tumors. Alternative splicing results in multiple transcript variants, all encoding the same protein. [provided by RefSeq, Jan 2016].",Yes,0.379,2.19,266.481,6.39
3,NEUROD1,neuronal differentiation 1,"This gene encodes a member of the NeuroD family of basic helix-loop-helix (bHLH) transcription factors. The protein forms heterodimers with other bHLH proteins and activates transcription of genes that contain a specific DNA sequence known as the E-box. It regulates expression of the insulin gene, and mutations in this gene result in type II diabetes mellitus. [provided by RefSeq, Jul 2008].",No,0.31,0.468,162.658,6.8
4,CHGB,chromogranin B,"This gene encodes a tyrosine-sulfated secretory protein abundant in peptidergic endocrine cells and neurons. This protein may serve as a precursor for regulatory peptides. [provided by RefSeq, Jan 2009].",No,0.22,193.873,4435.316,4.509
5,SLC17A6,solute carrier family 17 member 6,"Predicted to enable L-glutamate transmembrane transporter activity and neurotransmitter transmembrane transporter activity. Involved in neurotransmitter loading into synaptic vesicle. Predicted to be located in synaptic vesicle. Predicted to be active in excitatory synapse. Predicted to be integral component of synaptic vesicle membrane. [provided by Alliance of Genome Resources, Apr 2022]",Yes,0.181,0.063,64.329,5.941
6,MC4R,melanocortin 4 receptor,"The protein encoded by this gene is a membrane-bound receptor and member of the melanocortin receptor family. The encoded protein interacts with adrenocorticotropic and MSH hormones and is mediated by G proteins. This is an intronless gene. Defects in this gene are a cause of autosomal dominant obesity. [provided by RefSeq, Jan 2010].",Yes,-0.069,0.886,70.722,5.249
7,BCHE,butyrylcholinesterase,"This gene encodes a cholinesterase enzyme and member of the type-B carboxylesterase/lipase family of proteins. The encoded enzyme exhibits broad substrate specificity and is involved in the detoxification of poisons including organophosphate nerve agents and pesticides, and the metabolism of drugs including cocaine, heroin and aspirin. Humans homozygous for certain mutations in this gene exhibit prolonged apnea after administration of the muscle relaxant succinylcholine. [provided by RefSeq, Jul 2016].",Yes,-0.073,24.114,754.139,4.91
8,ADAM2,ADAM metallopeptidase domain 2,"This gene encodes a member of the ADAM (a disintegrin and metalloprotease domain) family. Members of this family are membrane-anchored proteins structurally related to snake venom disintegrins, and have been implicated in a variety of biological processes involving cell-cell and cell-matrix interactions, including fertilization, muscle development, and neurogenesis. The encoded protein is a subunit of an integral sperm membrane glycoprotein called fertilin, which plays an important role in sperm-egg interactions. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, May 2013].",Yes,-0.377,6.253,148.139,4.362
9,KCNQ2,potassium voltage-gated channel subfamily Q member 2,"The M channel is a slowly activating and deactivating potassium channel that plays a critical role in the regulation of neuronal excitability.  The M channel is formed by the association of the protein encoded by this gene and a related protein encoded by the KCNQ3 gene, both integral membrane proteins. M channel currents are inhibited by M1 muscarinic acetylcholine receptors and activated by retigabine, a novel anti-convulsant drug. Defects in this gene are a cause of benign familial neonatal convulsions type 1 (BFNC), also known as epilepsy, benign neonatal type 1 (EBN1). At least five transcript variants encoding five different isoforms have been found for this gene. [provided by RefSeq, Jul 2008].",Yes,-0.405,2.873,76.38,4.32
10,FGF19,fibroblast growth factor 19,"The protein encoded by this gene is a member of the fibroblast growth factor (FGF) family. FGF family members possess broad mitogenic and cell survival activities, and are involved in a variety of biological processes including embryonic development cell growth, morphogenesis, tissue repair, tumor growth and invasion. This growth factor is a high affinity, heparin dependent ligand for FGFR4. Expression of this gene was detected only in fetal but not adult brain tissue. Synergistic interaction of the chick homolog and Wnt-8c has been shown to be required for initiation of inner ear development. [provided by RefSeq, Jul 2008].",No,-0.584,1.544,52.266,4.388
